0,0,0
0,0,-0.001
0,0,-0.001
0.011,-0.001,-0.004
0.641,-0.011,-0.007
0.696,-0.012,-0.099
0.7,-0.015,-0.896
0.694,0.004,-1.512
0.699,0.027,-2.125
0.716,0.041,-2.763
0.729,0.043,2.906
0.733,0.041,2.231
0.733,0.042,1.582
0.739,0.059,0.922
0.76,0.074,0.314
0.769,0.074,-0.211
1.062,0.014,-0.23
1.664,-0.133,-0.261
2.287,-0.296,-0.271
2.914,-0.494,-0.32
3.512,-0.689,-0.314
4.122,-0.848,-0.203
4.733,-0.995,-0.186
5.366,-1.052,-0.079
5.992,-1.13,-0.136
6.622,-1.209,-0.133
7.23,-1.319,-0.174
7.846,-1.421,-0.159
8.428,-1.531,-0.163
8.807,-1.6,-0.133
8.814,-1.598,-0.666
8.93,-1.732,-0.934
9.308,-2.253,-0.953
9.673,-2.767,-0.901
10.068,-3.268,-0.879
10.473,-3.765,-0.843
10.884,-4.262,-0.851
11.147,-4.591,-0.842
11.13,-4.563,-1.162
11.138,-4.543,-1.332
11.281,-5.132,-1.313
11.435,-5.744,-1.344
11.563,-6.322,-1.366
11.679,-6.934,-1.405
11.78,-7.548,-1.44
11.82,-8.183,-1.496
11.833,-8.823,-1.515
11.837,-9.464,-1.556
11.814,-10.111,-1.563
11.79,-10.753,-1.613
11.719,-11.364,-1.657
11.635,-11.98,-1.686
11.52,-12.577,-1.762
11.39,-13.159,-1.749
11.258,-13.686,-1.811
11.233,-13.645,-1.805
11.203,-13.64,-1.794
11.033,-14.289,-1.805
10.854,-14.933,-1.759
10.699,-15.57,-1.783
10.537,-16.209,-1.761
10.379,-16.842,-1.812
10.185,-17.425,-1.772
9.996,-18.032,-1.808
9.809,-18.611,-1.744
9.636,-19.217,-1.795
9.441,-19.843,-1.802
9.236,-20.471,-1.8
9.114,-20.955,-1.816
9.106,-20.947,-1.971
9.119,-20.936,-2.645
9.138,-20.945,2.995
9.159,-20.944,2.986
9.175,-20.946,2.921
9.166,-20.949,2.299
9.173,-20.958,1.947
9.183,-20.945,2.641
9.192,-20.939,2.874
